ID;Ano;Extrato_Ano;Variavel_Ano;Niveis_Ano;Percentual_Ano
118;2012;Area Urbana-1;Padrao Construtivo;Taipa;0
119;2013;Area Urbana-1;Padrao Construtivo;Taipa;2.1
120;2014;Area Urbana-1;Padrao Construtivo;Taipa;7
121;2015;Area Urbana-1;Padrao Construtivo;Taipa;2.5
122;2016;Area Urbana-1;Padrao Construtivo;Taipa;0.9
123;2017;Area Urbana-1;Padrao Construtivo;Taipa;2.7
124;2018;Area Urbana-1;Padrao Construtivo;Taipa;3.6
125;2019;Area Urbana-1;Padrao Construtivo;Taipa;2.5
126;2020;Area Urbana-1;Padrao Construtivo;Taipa;0
127;2012;Area Urbana-1;Padrao Construtivo;Outro;0
128;2013;Area Urbana-1;Padrao Construtivo;Outro;0
129;2014;Area Urbana-1;Padrao Construtivo;Outro;0
130;2015;Area Urbana-1;Padrao Construtivo;Outro;0
131;2016;Area Urbana-1;Padrao Construtivo;Outro;0.9
132;2017;Area Urbana-1;Padrao Construtivo;Outro;0.9
133;2018;Area Urbana-1;Padrao Construtivo;Outro;0
134;2019;Area Urbana-1;Padrao Construtivo;Outro;0
135;2020;Area Urbana-1;Padrao Construtivo;Outro;0
136;2012;Area Urbana-2;Padrao Construtivo;Madeira;88.9
137;2013;Area Urbana-2;Padrao Construtivo;Madeira;90
138;2014;Area Urbana-2;Padrao Construtivo;Madeira;81.7
139;2015;Area Urbana-2;Padrao Construtivo;Madeira;89.3
140;2016;Area Urbana-2;Padrao Construtivo;Madeira;82.9
141;2017;Area Urbana-2;Padrao Construtivo;Madeira;88.5
142;2018;Area Urbana-2;Padrao Construtivo;Madeira;81.1
143;2019;Area Urbana-2;Padrao Construtivo;Madeira;74.5
144;2020;Area Urbana-2;Padrao Construtivo;Madeira;72.7
145;2012;Area Urbana-2;Padrao Construtivo;Tijolo;11.1
146;2013;Area Urbana-2;Padrao Construtivo;Tijolo;10
147;2014;Area Urbana-2;Padrao Construtivo;Tijolo;19.7
148;2015;Area Urbana-2;Padrao Construtivo;Tijolo;11.4
149;2016;Area Urbana-2;Padrao Construtivo;Tijolo;17.9
150;2017;Area Urbana-2;Padrao Construtivo;Tijolo;10
151;2018;Area Urbana-2;Padrao Construtivo;Tijolo;18.2
152;2019;Area Urbana-2;Padrao Construtivo;Tijolo;25.5
153;2020;Area Urbana-2;Padrao Construtivo;Tijolo;27.3
154;2012;Area Urbana-2;Padrao Construtivo;Adobe;11.1
155;2013;Area Urbana-2;Padrao Construtivo;Adobe;10
156;2014;Area Urbana-2;Padrao Construtivo;Adobe;19.7
157;2015;Area Urbana-2;Padrao Construtivo;Adobe;11.4
158;2016;Area Urbana-2;Padrao Construtivo;Adobe;10.7
159;2017;Area Urbana-2;Padrao Construtivo;Adobe;0.8
160;2018;Area Urbana-2;Padrao Construtivo;Adobe;0
161;2019;Area Urbana-2;Padrao Construtivo;Adobe;0.9
162;2020;Area Urbana-2;Padrao Construtivo;Adobe;0
163;2012;Area Urbana-2;Padrao Construtivo;Taipa;0
164;2013;Area Urbana-2;Padrao Construtivo;Taipa;0
165;2014;Area Urbana-2;Padrao Construtivo;Taipa;0
166;2015;Area Urbana-2;Padrao Construtivo;Taipa;0
167;2016;Area Urbana-2;Padrao Construtivo;Taipa;0
168;2017;Area Urbana-2;Padrao Construtivo;Taipa;0.8
169;2018;Area Urbana-2;Padrao Construtivo;Taipa;0.8
170;2019;Area Urbana-2;Padrao Construtivo;Taipa;0
171;2020;Area Urbana-2;Padrao Construtivo;Taipa;0
172;2012;Area Urbana-2;Padrao Construtivo;Outro;0
173;2013;Area Urbana-2;Padrao Construtivo;Outro;0
174;2014;Area Urbana-2;Padrao Construtivo;Outro;0
175;2015;Area Urbana-2;Padrao Construtivo;Outro;0
176;2016;Area Urbana-2;Padrao Construtivo;Outro;0
177;2017;Area Urbana-2;Padrao Construtivo;Outro;0
178;2018;Area Urbana-2;Padrao Construtivo;Outro;3
179;2019;Area Urbana-2;Padrao Construtivo;Outro;0
180;2020;Area Urbana-2;Padrao Construtivo;Outro;0
181;2012;Area Rural-1;Tipo de Pisos;Cimento;20
